Year,ISIN,Weight
2013,CA0084741085,0.0018884853942142876
2013,CA4969024047,0.01582756564277602
2013,CA8029121057,0.01045361514454687
2013,US00971T1016,0.00942618456242111
2013,US02209S1033,0.0058111240184060935
2013,US0718131099,0.012701278177846597
2013,US1890541097,0.04245590446022347
2013,US2091151041,0.10200420774525777
2013,US28176E1082,0.00618643554219634
2013,US29670G1022,0.01877097172523212
2013,US3021301094,0.005875557965715188
2013,US30231G1022,0.03896625118579568
2013,US3703341046,0.12259003260723449
2013,US37045V1008,0.01306999715130996
2013,US4278661081,0.09303645255814903
2013,US4404521001,0.011210945418992783
2013,US4878361082,0.05611355940706743
2013,US6516391066,0.04063738183799019
2013,US69331C1080,0.056377051256203695
2013,US69351T1060,0.05520765242043242
2013,US74834L1008,0.08567396573100397
2013,US8425871071,0.002242132653329045
2013,US8725401090,0.04963927319642024
2013,US92939U1060,0.006190900609302774
2013,US9311421039,0.13764307358793237
2014,CA0084741085,0.013652426269167297
2014,CA4969024047,0.00391633294249788
2014,CA8029121057,0.022380001756696855
2014,US00971T1016,0.007600635122291257
2014,US02209S1033,0.02790871187162947
2014,US0718131099,0.0336347741641334
2014,US1344291091,0.0003355087203867922
2014,US1890541097,0.07613528514014145
2014,US2091151041,0.07459097057988935
2014,US29670G1022,0.012554726779164208
2014,US3021301094,0.009846004701966024
2014,US30231G1022,0.018474927686114175
2014,US3703341046,0.11799323320922593
2014,US37045V1008,0.013222662690215308
2014,US3755581036,0.0015365192846606506
2014,US4278661081,0.10620963322022431
2014,US4592001014,0.014563612864473458
2014,US5801351017,0.027366281831897717
2014,US6516391066,0.037527830715803116
2014,US69331C1080,0.05593339847545467
2014,US69351T1060,0.04841929582968943
2014,US74834L1008,0.10456075110034017
2014,US8425871071,0.013535481601807434
2014,US8725401090,0.022927840284697795
2014,US9311421039,0.1351731531574316
2015,CA0084741085,0.012079411481800764
2015,CA4969024047,0.00022218659035053013
2015,CA8029121057,0.035243908965930056
2015,US00971T1016,0.005818780569094847
2015,US0718131099,0.033036870128967506
2015,US1307881029,0.02297499133179932
2015,US1890541097,0.033463741368791
2015,US2091151041,0.10029804297726073
2015,US29670G1022,0.0009503971850970411
2015,US3021301094,0.03070693809410249
2015,US30231G1022,0.0530736344110249
2015,US3703341046,0.15897758162625392
2015,US37045V1008,0.004656301772333012
2015,US4278661081,0.10775805135584288
2015,US4592001014,0.024180588173628198
2015,US5801351017,0.03422756701523258
2015,US6516391066,0.040402274553719406
2015,US69331C1080,0.027642289701302558
2015,US69351T1060,0.03338560538871001
2015,US74834L1008,0.07961087062080685
2015,US8425871071,0.0016238960145808798
2015,US8725401090,0.038248183675519465
2015,US9311421039,0.12141788699785067
2016,CA0084741085,0.03112726262999771
2016,CA8029121057,0.03135089101920005
2016,IE00BWT6H894,0.017463068907053705
2016,US00971T1016,0.0033322753524797737
2016,US0718131099,0.03395623713237955
2016,US0844231029,0.025433931078202427
2016,US1890541097,0.07267296398043749
2016,US2091151041,0.08426646445286182
2016,US2774614067,0.006092144453449432
2016,US28176E1082,0.0037811494901699837
2016,US29670G1022,0.00942267122496554
2016,US3021301094,0.011888670749037317
2016,US30231G1022,0.033125978091218276
2016,US3703341046,0.09696532457844409
2016,US37045V1008,0.031876764058591946
2016,US3755581036,0.006047068782440736
2016,US4278661081,0.060233849779853736
2016,US4404521001,0.006594170887939071
2016,US4592001014,0.021979127007362282
2016,US5801351017,0.09066280327569254
2016,US6516391066,0.0007279803003034922
2016,US69331C1080,0.032978356536708095
2016,US69351T1060,0.029523828022588013
2016,US74834L1008,0.07257500626733397
2016,US8425871071,0.0031865212786594743
2016,US8725401090,0.05013399042369531
2016,US9311421039,0.13260150023893388
2017,CA0084741085,0.011868890946953215
2017,CA3518581051,0.023506898017522194
2017,CA8029121057,0.012840015737910302
2017,IE00BWT6H894,0.030134615925405412
2017,US00971T1016,0.014918557796988037
2017,US0718131099,0.050614097568495796
2017,US0844231029,0.01655565878964667
2017,US1890541097,0.06788385697278233
2017,US2091151041,0.05625170052045648
2017,US2774614067,0.02352248701219395
2017,US28176E1082,0.002094036425214093
2017,US29670G1022,0.00019825509878683564
2017,US3021301094,0.006477027560752707
2017,US30231G1022,0.0016064817493805672
2017,US3703341046,0.0972979942470427
2017,US37045V1008,0.0346539122940307
2017,US3755581036,0.028692387322024285
2017,US4278661081,0.05530649281166282
2017,US5218652049,0.003783646819370352
2017,US5801351017,0.13511235422038204
2017,US6516391066,0.002759040592653576
2017,US69331C1080,0.07969167210993432
2017,US74834L1008,0.0318354423728506
2017,US75281A1097,0.030742976468358857
2017,US8101861065,0.004623293184483117
2017,US8425871071,0.019491075923134954
2017,US8725401090,0.03611080396137233
2017,US92532F1003,0.011140237201574454
2017,US9311421039,0.11028609034863625
2018,CA0084741085,0.0232273638504054
2018,IE00BWT6H894,0.04568511219233919
2018,US00971T1016,0.024477262924101753
2018,US03027X1000,0.07936048098775729
2018,US0584981064,0.03525397369172669
2018,US1156372096,0.005268340250374558
2018,US1255231003,0.005990785543605915
2018,US1307881029,0.003253083889205033
2018,US14149Y1082,0.016414370801592672
2018,US1713401024,0.008264389095438834
2018,US2091151041,0.05061559783371874
2018,US2371941053,0.020911970028081078
2018,US28176E1082,0.0010487033486087452
2018,US3029411093,0.0420186391756016
2018,US4108671052,0.013623387902513117
2018,US4278661081,0.08734129076928553
2018,US4404521001,0.04896465962467494
2018,US4523271090,0.013016424791514741
2018,US4592001014,0.05578518329320206
2018,US4878361082,0.0031542177192632357
2018,US49456B1017,0.042937752699701515
2018,US5002551043,0.028595487709599254
2018,US57636Q1040,0.002620814482660656
2018,US5797802064,0.0459911809606697
2018,US5801351017,0.11138899734695219
2018,US6516391066,0.0084656572183733
2018,US69331C1080,0.05687285386005776
2018,US7427181091,0.0007731403006157663
2018,US74834L1008,0.0385487193882531
2018,US8425871071,0.04487897286988585
2018,US8725401090,0.009342357857662792
2018,US9024941034,0.0050144387502512
2018,US92532F1003,0.016825224059509206
2018,US9311421039,0.004069164782796299
2019,CA0084741085,0.039702194175894864
2019,CA2918434077,0.05770135365382157
2019,CA5394811015,0.012062120616641497
2019,CA6837151068,0.012473626145128864
2019,CA8029121057,0.0034906922236139235
2019,GB0022569080,0.0053928132482740565
2019,IE00BWT6H894,0.05134044132416932
2019,US00971T1016,0.0013785683564695055
2019,US03027X1000,0.07844133751502663
2019,US03940R1077,0.037466278810120476
2019,US1255231003,0.04812054526460693
2019,US1713401024,0.04884179956704725
2019,US2091151041,0.09286532068917287
2019,US22822V1017,0.023959977560743143
2019,US2371941053,0.028062433145218457
2019,US29272W1099,0.004396307025722312
2019,US3029411093,0.05623108928156395
2019,US31620M1062,0.02419728743826982
2019,US3379321074,0.019702564364459055
2019,US4278661081,0.02877784396283809
2019,US4404521001,0.038277515471243494
2019,US4523271090,0.0019196580534019665
2019,US5002551043,0.002743136117587685
2019,US5324571083,0.026320634009594484
2019,US5398301094,0.002475211987531986
2019,US55261F1049,0.07144649628933417
2019,US5801351017,0.0740158975527271
2019,US58933Y1055,0.04823523179542518
2019,US6516391066,0.006441172711226265
2019,US69331C1080,0.0017969970071910583
2019,US8725401090,0.023932525067593576
2019,US87612E1064,0.005757565143369608
2019,US91324P1021,0.017306495163321414
2019,US92532F1003,0.004726869261649236
2020,CA2918434077,0.05262881178383201
2020,CA5394811015,0.04370953045513528
2020,CA59162N1096,0.024640658615603786
2020,IE00BWT6H894,0.03281386313697063
2020,US03027X1000,0.06620783894396622
2020,US09062X1037,0.004464421938513681
2020,US1255231003,0.04606320603711442
2020,US12572Q1058,0.07814451918325803
2020,US1307881029,0.008578453374299442
2020,US1890541097,0.04053586459291215
2020,US2091151041,0.10117615934152326
2020,US22822V1017,0.016808144217876964
2020,US25746U1097,0.021721523980840814
2020,US3029411093,0.036921958706076854
2020,US3379321074,0.025204561973091913
2020,US4198701009,0.022200259536711234
2020,US4278661081,0.024416858696083614
2020,US4404521001,0.03640947124301668
2020,US5324571083,0.04731933649371407
2020,US58933Y1055,0.005671037911485495
2020,US5949181045,0.017568885143044072
2020,US6200763075,0.02586192151900359
2020,US6516391066,0.033835359246608514
2020,US65339F1012,0.012746276036742466
2020,US67066G1040,0.0027706478486551455
2020,US7433151039,0.01284188870954542
2020,US74460D1090,0.0252518961707075
2020,US74762E1029,0.02636985753563281
2020,US75886F1075,0.03957605995595077
2020,US8326964058,0.017003925181655468
2020,US84265V1052,0.009269928484114794
2020,US9029733048,0.008973654639398117
2020,US9311421039,0.03229321936691462
2021,CA05534B7604,0.03119337168632534
2021,CA2918434077,0.045326411641064664
2021,CA5394811015,0.00426140866049267
2021,CA59162N1096,0.06901036622169358
2021,CA8029121057,0.008266213875458712
2021,CA8849038085,0.024485947173291625
2021,IE00BWT6H894,0.012483839581401418
2021,US00971T1016,0.016358112807769117
2021,US0565251081,0.00996264702579425
2021,US0584981064,0.022519729158319485
2021,US09062X1037,0.034290689140199886
2021,US12572Q1058,0.07471298261263833
2021,US1270971039,0.04522034458828323
2021,US1890541097,0.08089966862197706
2021,US2091151041,0.06878063227471766
2021,US2810201077,0.005237848695532012
2021,US3029411093,0.03134954226762685
2021,US3379321074,0.002726176211184941
2021,US4404521001,0.03507954103653763
2021,US4581401001,0.0019483535019213772
2021,US5324571083,0.0418650586763562
2021,US55261F1049,0.009691455106014797
2021,US57667L1070,0.04445964288831118
2021,US6200763075,0.025732624323912493
2021,US6516391066,0.023247100285501594
2021,US65339F1012,0.06647159292415697
2021,US67066G1040,0.009897767809681966
2021,US6866881021,0.004297116589043128
2021,US74460D1090,0.03042742254203896
2021,US74762E1029,0.015395268216302415
2021,US75886F1075,0.027929682501169457
2021,US7611521078,0.004968071832550889
2021,US8326964058,0.02280339178134757
2021,US84265V1052,0.01256813550721653
2021,US8760301072,0.012877408515498288
2021,US8910921084,0.023170273642827987
2021,US92532F1003,8.4160075839244e-05
2022,CA2918434077,0.038518681642882434
2022,CA59162N1096,0.06727794990572464
2022,CA8029121057,0.07616632979121568
2022,CA8849038085,0.02713356038287974
2022,GB0022569080,0.024009139349590498
2022,US00507V1098,0.007622260404506176
2022,US0584981064,0.006441858393348369
2022,US0718131099,0.012102374177514766
2022,US09062X1037,0.056954455336659576
2022,US12572Q1058,0.09670763904150746
2022,US1270971039,0.03634934390570702
2022,US1890541097,0.08841127113121154
2022,US2091151041,0.03045006278908794
2022,US25746U1097,0.015645732543689148
2022,US3029411093,0.0406645384623887
2022,US3379321074,0.020131852484921803
2022,US4180561072,0.006274869208842375
2022,US4278661081,0.03405121642658829
2022,US4404521001,0.005692419583005893
2022,US4878361082,0.01471796227947076
2022,US5324571083,0.04167941200600315
2022,US55261F1049,0.04647178662791378
2022,US57667L1070,0.013608647465113841
2022,US6516391066,0.01661669985660797
2022,US65339F1012,0.0066352735582628
2022,US74460D1090,0.025487230021728816
2022,US75886F1075,0.03862028117580035
2022,US7611521078,0.007378048295777381
2022,US8326964058,0.0699136046764657
2022,US84265V1052,0.009695411479102583
2022,US92343V1044,0.018570087596480447
2023,CA2918434077,0.02765011583823589
2023,CA39138C1068,0.030110384402470245
2023,CA59162N1096,0.053731033367859705
2023,CA8029121057,0.08718090182593456
2023,GB0022569080,0.007158683318115054
2023,US04621X1081,0.002718441562277456
2023,US09062X1037,0.05065697321761162
2023,US0936711052,0.005780633979903278
2023,US12572Q1058,0.1089162423285411
2023,US1270971039,0.048900128481018365
2023,US1890541097,0.03803050423443523
2023,US2091151041,0.03925534708972079
2023,US3029411093,0.0759753599092674
2023,US3379321074,0.020473745150921825
2023,US3755581036,0.020140486433493147
2023,US4180561072,0.010051699216241553
2023,US4278661081,0.05826611754710114
2023,US4404521001,0.06696660592062986
2023,US4878361082,0.017945510805453358
2023,US5324571083,0.031022586784518406
2023,US55261F1049,0.014587226380976889
2023,US57667L1070,0.012080443557297746
2023,US65339F1012,0.024864973871297137
2023,US6668071029,0.023615224262091415
2023,US69331C1080,0.0032583653846281757
2023,US7433151039,0.002977023978573601
2023,US75886F1075,0.06631641735883785
2023,US8326964058,0.03297727255671686
2023,US92343V1044,0.01839155123582996
2024,CA2918434077,0.047203201027232564
2024,CA39138C1068,0.01428768812826845
2024,CA8029121057,0.09273947442431861
2024,CA8849038085,0.0027413012416705905
2024,GB0022569080,0.018376967099530735
2024,US02079K3059,0.004987316921254605
2024,US0383361039,0.004370860805403156
2024,US03940R1077,0.00044656420383474687
2024,US09062X1037,0.0565152371376047
2024,US12572Q1058,0.12164486984542086
2024,US1258961002,0.02998883336977916
2024,US1270971039,0.04863795746249749
2024,US1890541097,0.024727105119206984
2024,US2091151041,0.0485075882133897
2024,US2566771059,0.02128968426678652
2024,US2855121099,0.010821282472721832
2024,US3029411093,0.07012006408669706
2024,US3379321074,0.023414090584756266
2024,US3755581036,0.050146157036697864
2024,US4180561072,0.005580462188298449
2024,US4278661081,0.06032458290565136
2024,US4404521001,0.08042629477101496
2024,US4878361082,0.018042590195780223
2024,US5324571083,0.020598528279064127
2024,US55261F1049,0.013222618563434357
2024,US57667L1070,0.007587740939216332
2024,US65339F1012,0.005128509642704096
2024,US6668071029,2.1741786871768248e-05
2024,US69331C1080,0.004578889089346048
2024,US7427181091,0.011168319107789147
2024,US75886F1075,0.04912636849062981
2024,US8326964058,0.029494008135740574
2024,US9291601097,0.0037331024573865877
