Year,N_firms,N_nonzero,Max_weight,CF_actual,CF_target,CF_satisfied,TE_ann,Converged
2013,337,303,0.044272939708740806,146.15386228427442,146.1538622842744,True,0.0003775691861335732,True
2014,348,302,0.04840756858343301,131.538476055847,131.53847605584696,True,0.0004406992856367552,True
2015,364,328,0.046159174475550284,118.38462845026228,118.38462845026227,True,0.0003715926192047936,True
2016,381,311,0.04999710637638389,100.11377002826978,106.54616560523603,True,0.0004074867093107158,True
2017,400,346,0.046171709350655156,94.17535005579705,95.89154904471243,True,0.0003660872642873131,True
2018,436,405,0.04108112263899335,86.30239414024126,86.30239414024119,True,0.00037769851079365,True
2019,503,429,0.04813680787848922,77.67215472621713,77.67215472621707,True,0.0002744707563154921,True
2020,532,500,0.05674178483452966,69.50122489287747,69.90493925359537,True,0.00028020980921911973,True
2021,560,509,0.07740163537981984,62.914445328235814,62.914445328235836,True,0.0002617978326789061,True
2022,570,513,0.07940078272817752,51.63012212548569,56.62300079541226,True,0.0002547797723730148,True
2023,570,503,0.07688538511211628,50.74043666007146,50.96070071587103,True,0.0003162818357100824,True
2024,568,454,0.08752450207600791,45.86463064428394,45.864630644283935,True,0.00024909284894824343,True
