year,month,RF,RF_monthly
2000,1,0.41,0.0040999999999999995
2000,2,0.43,0.0043
2000,3,0.47,0.004699999999999999
2000,4,0.46,0.0046
2000,5,0.5,0.005
2000,6,0.4,0.004
2000,7,0.48,0.0048
2000,8,0.5,0.005
2000,9,0.51,0.0051
2000,10,0.56,0.005600000000000001
2000,11,0.51,0.0051
2000,12,0.5,0.005
2001,1,0.54,0.0054
2001,2,0.38,0.0038
2001,3,0.42,0.0042
2001,4,0.39,0.0039000000000000003
2001,5,0.32,0.0032
2001,6,0.28,0.0028000000000000004
2001,7,0.3,0.003
2001,8,0.31,0.0031
2001,9,0.28,0.0028000000000000004
2001,10,0.22,0.0022
2001,11,0.17,0.0017000000000000001
2001,12,0.15,0.0015
2002,1,0.14,0.0014000000000000002
2002,2,0.13,0.0013
2002,3,0.13,0.0013
2002,4,0.15,0.0015
2002,5,0.14,0.0014000000000000002
2002,6,0.13,0.0013
2002,7,0.15,0.0015
2002,8,0.14,0.0014000000000000002
2002,9,0.14,0.0014000000000000002
2002,10,0.14,0.0014000000000000002
2002,11,0.12,0.0012
2002,12,0.11,0.0011
2003,1,0.1,0.001
2003,2,0.09,0.0009
2003,3,0.1,0.001
2003,4,0.1,0.001
2003,5,0.09,0.0009
2003,6,0.1,0.001
2003,7,0.07,0.0007000000000000001
2003,8,0.07,0.0007000000000000001
2003,9,0.08,0.0008
2003,10,0.07,0.0007000000000000001
2003,11,0.07,0.0007000000000000001
2003,12,0.08,0.0008
2004,1,0.07,0.0007000000000000001
2004,2,0.06,0.0006
2004,3,0.09,0.0009
2004,4,0.08,0.0008
2004,5,0.06,0.0006
2004,6,0.08,0.0008
2004,7,0.1,0.001
2004,8,0.11,0.0011
2004,9,0.11,0.0011
2004,10,0.11,0.0011
2004,11,0.15,0.0015
2004,12,0.16,0.0016
2005,1,0.16,0.0016
2005,2,0.16,0.0016
2005,3,0.21,0.0021
2005,4,0.21,0.0021
2005,5,0.24,0.0024
2005,6,0.23,0.0023
2005,7,0.24,0.0024
2005,8,0.3,0.003
2005,9,0.29,0.0029
2005,10,0.27,0.0027
2005,11,0.31,0.0031
2005,12,0.32,0.0032
2006,1,0.35,0.0034999999999999996
2006,2,0.34,0.0034000000000000002
2006,3,0.37,0.0037
2006,4,0.36,0.0036
2006,5,0.43,0.0043
2006,6,0.4,0.004
2006,7,0.4,0.004
2006,8,0.42,0.0042
2006,9,0.41,0.0040999999999999995
2006,10,0.41,0.0040999999999999995
2006,11,0.42,0.0042
2006,12,0.4,0.004
2007,1,0.44,0.0044
2007,2,0.38,0.0038
2007,3,0.43,0.0043
2007,4,0.44,0.0044
2007,5,0.41,0.0040999999999999995
2007,6,0.4,0.004
2007,7,0.4,0.004
2007,8,0.42,0.0042
2007,9,0.32,0.0032
2007,10,0.32,0.0032
2007,11,0.34,0.0034000000000000002
2007,12,0.27,0.0027
2008,1,0.21,0.0021
2008,2,0.13,0.0013
2008,3,0.17,0.0017000000000000001
2008,4,0.18,0.0018
2008,5,0.18,0.0018
2008,6,0.17,0.0017000000000000001
2008,7,0.15,0.0015
2008,8,0.13,0.0013
2008,9,0.15,0.0015
2008,10,0.08,0.0008
2008,11,0.03,0.0003
2008,12,0.0,0.0
2009,1,0.0,0.0
2009,2,0.01,0.0001
2009,3,0.02,0.0002
2009,4,0.01,0.0001
2009,5,0.0,0.0
2009,6,0.01,0.0001
2009,7,0.01,0.0001
2009,8,0.01,0.0001
2009,9,0.01,0.0001
2009,10,0.0,0.0
2009,11,0.0,0.0
2009,12,0.01,0.0001
2010,1,0.0,0.0
2010,2,0.0,0.0
2010,3,0.01,0.0001
